signals,size,development_sharpe,development_sharpe_standard_error,development_mean_daily_return,development_daily_volatility,evaluation_sharpe,evaluation_sharpe_standard_error
headline/sentiment_all|headline/sentiment_reuters|llm/gemma-4-31b|llm/vader,4,0.6757978862723353,1.7226120774313338,0.00015641585001165842,0.0036742119084361095,-0.033143653676232204,2.5751880322297236
headline/sentiment_all|llm/finbert|llm/gemma-4-31b|llm/vader,4,0.8767691981318901,1.7231447384272076,0.00023255100582281736,0.004210495509121805,0.4886818046212906,2.5757952525338452
headline/sentiment_non_reuters|headline/sentiment_reuters|llm/finbert|llm/gemma-4-31b,4,0.6026788263724698,1.7224524611689027,0.0001371266483811227,0.0036119039912514955,-0.047872347094103394,2.5751910807018827
headline/sentiment_non_reuters|headline/sentiment_reuters|llm/finbert|llm/vader,4,0.7326861218708496,1.722748878892278,0.00018026280920493384,0.0039056060942358754,0.33122504924541374,2.5754654919911992
headline/sentiment_non_reuters|headline/sentiment_reuters|llm/gemma-4-31b|llm/vader,4,0.6130374752458471,1.7224739645365357,0.00014320646014978307,0.0037083084965622523,-0.18960154654217767,2.5752770641603107
headline/sentiment_non_reuters|llm/finbert|llm/gemma-4-31b|llm/vader,4,0.8208155696993676,1.722982602417135,0.00021934161596094207,0.00424204941589184,0.35981413515854904,2.5755159580472515
headline/sentiment_reuters|llm/finbert|llm/gemma-4-31b|llm/vader,4,0.47882195270732997,1.7222237172132233,0.00010998546526350131,0.003646376536501305,0.1296405130139952,2.5752281622539743
headline/actionable_sentiment_all|headline/sentiment_all|headline/sentiment_non_reuters|headline/sentiment_reuters|llm/finbert,5,0.611342854292151,1.7224704216456326,0.00015005817122853738,0.003896503578734525,-0.08720814067899156,2.575204655280105
headline/actionable_sentiment_all|headline/sentiment_all|headline/sentiment_non_reuters|headline/sentiment_reuters|llm/gemma-4-31b,5,0.5030578358538216,1.7222643562647642,0.00012041309198441686,0.0037997590727880345,-0.4956524349849553,2.575812777542538
headline/actionable_sentiment_all|headline/sentiment_all|headline/sentiment_non_reuters|headline/sentiment_reuters|llm/vader,5,0.6192680945376979,1.7224870749500774,0.0001549220206434657,0.003971318492061663,-0.19694816042602353,2.5752843189429315
headline/actionable_sentiment_all|headline/sentiment_all|headline/sentiment_non_reuters|llm/finbert|llm/gemma-4-31b,5,0.6886061625992116,1.7226419150062187,0.00018132121663334393,0.004180016439185254,-0.009975876590701222,2.575185480080471
headline/actionable_sentiment_all|headline/sentiment_all|headline/sentiment_non_reuters|llm/finbert|llm/vader,5,0.7897195537011933,1.7228971103305277,0.00021583014529239275,0.004338498804024838,0.24858935904980692,2.5753430958689574
headline/actionable_sentiment_all|headline/sentiment_all|headline/sentiment_non_reuters|llm/gemma-4-31b|llm/vader,5,0.7010166549190617,1.7226713597858176,0.00018618506604827222,0.004216157026866117,-0.10740660154213501,2.575214697687347
headline/actionable_sentiment_all|headline/sentiment_all|headline/sentiment_reuters|llm/finbert|llm/gemma-4-31b,5,0.416971329291657,1.7221290945144743,9.383629607539127e-05,0.0035724399150703773,-0.2558664443214462,2.5753524736721136
headline/actionable_sentiment_all|headline/sentiment_all|headline/sentiment_reuters|llm/finbert|llm/vader,5,0.5422521930032846,1.7223343213086555,0.00012834522473444018,0.00375732418595826,0.05220835306246486,2.5751921893330025
headline/actionable_sentiment_all|headline/sentiment_all|headline/sentiment_reuters|llm/gemma-4-31b|llm/vader,5,0.4318026813465813,1.7221505938721573,9.870014549031969e-05,0.003628546796220769,-0.3609805408820607,2.5755181056462764
headline/actionable_sentiment_all|headline/sentiment_all|llm/finbert|llm/gemma-4-31b|llm/vader,5,0.6300103506794015,1.722509989797657,0.00015960827013924685,0.004021684305874727,0.11060991454296223,2.5752164818382774
headline/actionable_sentiment_all|headline/sentiment_non_reuters|headline/sentiment_reuters|llm/finbert|llm/gemma-4-31b,5,0.3677731116787699,1.7220631556733028,8.326878418589103e-05,0.0035942023155244142,-0.38734167558493926,2.5755684951748874
headline/actionable_sentiment_all|headline/sentiment_non_reuters|headline/sentiment_reuters|llm/finbert|llm/vader,5,0.49437553204671714,1.7222495671559173,0.00011777771284493989,0.0037818684539295796,-0.07455124774231751,2.5751994247981633
